Alpha,Theta,Device,Sensor0,Visible0,IR0,Sensor1,Visible1,IR1,Sensor2,Visible2,IR2,Sensor3,Visible3,IR3,Sensor4,Visible4,IR4,Sensor5,Visible5,IR5,Sensor6,Visible6,IR6,Sensor7,Visible7,IR7,Sensor8,Visible8,IR8,Sensor9,Visible9,IR9,Sensor10,Visible10,IR10,Sensor11,Visible11,IR11,TempSensor0,Temp0,TempSensor1,Temp1,TempSensor2,Temp2,TempSensor3,Temp3
5,-145,BH1730,ch0,22778,15276,ch1,24082,15139,ch2,22493,13659,ch3,19084,11140,ch4,18186,11579,ch5,17850,11409,ch6,570,414,ch7,590,415,ch8,521,388,ch9,209,159,ch10,227,169,ch11,242,185,t0, 0, t1, 0, t2, 0, t3, 0
5,-140,BH1730,ch0,21378,14362,ch1,22537,14805,ch2,20944,12841,ch3,21214,13090,ch4,20559,13019,ch5,20252,12962,ch6,614,448,ch7,517,362,ch8,438,328,ch9,242,180,ch10,264,192,ch11,306,225,t0, 0, t1, 0, t2, 0, t3, 0
5,-135,BH1730,ch0,19804,13090,ch1,20595,14488,ch2,19174,12031,ch3,23255,14354,ch4,22492,14176,ch5,22487,14002,ch6,669,498,ch7,488,358,ch8,409,305,ch9,272,199,ch10,305,219,ch11,379,272,t0, 0, t1, 0, t2, 0, t3, 0
5,-130,BH1730,ch0,17961,11888,ch1,18572,13169,ch2,17114,10586,ch3,24555,15682,ch4,24230,15321,ch5,24116,14987,ch6,598,467,ch7,504,371,ch8,387,296,ch9,319,229,ch10,371,260,ch11,460,328,t0, 0, t1, 0, t2, 0, t3, 0
5,-125,BH1730,ch0,15861,10402,ch1,16645,11097,ch2,14792,8762,ch3,25782,17138,ch4,25656,16028,ch5,25667,15588,ch6,466,366,ch7,400,310,ch8,329,256,ch9,424,303,ch10,475,332,ch11,522,368,t0, 0, t1, 0, t2, 0, t3, 0
5,-120,BH1730,ch0,13761,9118,ch1,14545,9623,ch2,12382,7072,ch3,26958,17684,ch4,26948,16975,ch5,26583,16495,ch6,343,274,ch7,309,242,ch8,291,222,ch9,451,321,ch10,511,357,ch11,556,389,t0, 0, t1, 0, t2, 0, t3, 0
5,-115,BH1730,ch0,11487,7956,ch1,12355,8054,ch2,7607,3952,ch3,27623,17741,ch4,27910,18514,ch5,27716,17158,ch6,288,229,ch7,285,224,ch8,272,209,ch9,425,301,ch10,505,351,ch11,571,395,t0, 0, t1, 0, t2, 0, t3, 0
5,-110,BH1730,ch0,9433,6887,ch1,10090,6618,ch2,1317,1104,ch3,28261,17948,ch4,28575,19038,ch5,28296,17430,ch6,274,221,ch7,270,216,ch8,257,200,ch9,458,323,ch10,489,334,ch11,546,376,t0, 0, t1, 0, t2, 0, t3, 0
5,-105,BH1730,ch0,7421,5747,ch1,7757,5267,ch2,727,643,ch3,28337,18056,ch4,28868,18761,ch5,28176,17317,ch6,275,222,ch7,262,211,ch8,244,192,ch9,509,362,ch10,440,301,ch11,464,320,t0, 0, t1, 0, t2, 0, t3, 0
5,-100,BH1730,ch0,5333,4443,ch1,4995,2794,ch2,376,343,ch3,28548,17828,ch4,29062,18307,ch5,28217,17299,ch6,317,257,ch7,287,233,ch8,251,198,ch9,594,417,ch10,502,344,ch11,490,340,t0, 0, t1, 0, t2, 0, t3, 0
5,-95,BH1730,ch0,3445,2585,ch1,499,395,ch2,256,228,ch3,28629,18041,ch4,29328,18763,ch5,28116,17620,ch6,477,445,ch7,486,492,ch8,523,476,ch9,718,502,ch10,579,394,ch11,575,404,t0, 0, t1, 0, t2, 0, t3, 0
5,-90,BH1730,ch0,547,470,ch1,349,321,ch2,291,264,ch3,28560,18043,ch4,29481,18933,ch5,27984,17606,ch6,465,418,ch7,510,477,ch8,725,619,ch9,841,585,ch10,680,454,ch11,626,434,t0, 0, t1, 0, t2, 0, t3, 0
